,feature_1,feature_2,r,p
0,comp,att,0.9868709109389912,0.0
1,fir_dn_throws,yds,0.9803265610882939,4.45e-322
2,comp,yds,0.9799611071980125,2.8073e-320
3,att,yds,0.9708668531332443,7.746374727827135e-284
4,comp,fir_dn_throws,0.9697255128947044,4.1782295561913234e-280
5,fir_dn_throws,att,0.9590662955993976,6.7420608670464775e-251
6,rush_att,rush_yds,0.947329505801099,1.244844986701633e-226
7,games_played,att,0.9118263398812823,1.2410441964444677e-177
8,td,yds,0.901878934779182,1.3254072051074505e-167
9,td,fir_dn_throws,0.8970187072255942,4.3505073977112926e-163
10,comp,games_played,0.8944240604296151,9.077393086863721e-161
11,games_played,yds,0.8917913938179152,1.7795938580577643e-158
12,4QC,GWD,0.8758921807951532,8.730251797631611e-146
13,fir_dn_throws,games_played,0.8718141038628222,8.237978990024242e-143
14,comp,td,0.8690689759469403,7.268127141512977e-141
15,att,td,0.8391969953480782,3.5342451934692536e-122
16,pass_rating,td_perc,0.8303512115399095,2.2741662988788547e-117
17,QBR,pass_rating,0.8053538780630114,3.673754475846124e-105
18,td,win,0.803427706966594,2.701973555918891e-104
19,pass_rating,avg_yds_per_att,0.8024327524671897,7.508301601377484e-104
20,comp_pct,pass_rating,0.794248249801859,2.710059920276047e-100
21,yds,win,0.7838895277841711,5.131661946703324e-96
22,win,fir_dn_throws,0.7812259537434714,5.916338703096888e-95
23,td_perc,td,0.7732945056147988,7.036093884416312e-92
24,games_played,win,0.7698994368757623,1.3357676956534345e-90
25,games_played,td,0.7691902241578741,2.454743461515155e-90
26,yds,yds_per_gm,0.7685794370828538,4.138530419685116e-90
27,avg_yds_per_att,yds_per_comp,0.7624695701982591,7.04932504288205e-88
28,win,comp,0.7580796844678854,2.5711618962284025e-86
29,yds_per_gm,fir_dn_throws,0.7576981202582085,3.5020016338433915e-86
30,win,att,0.735063740931503,1.212670242680831e-78
31,rush_att,rush_td,0.7289337842335282,9.850333404185755e-77
32,td,yds_per_gm,0.725066666510972,1.4842082976245963e-75
33,comp,yds_per_gm,0.7241540064162066,2.7962991879951667e-75
34,pass_rating,td,0.7218425968689766,1.3751291093217117e-74
35,td_perc,QBR,0.7158460792035242,7.956300399627119e-73
